order_id,order_date,customer_id,customer_name,segment,region,city,category,sub_category,product_name,ship_mode,quantity,discount,sales,profit
ORD-1081,2023-10-21,CUST-345,Ronald Baird,Corporate,West,Port Reneemouth,Office Supplies,Envelopes,Envelopes Model-44,Standard,16,0.3,4820.49,-160.1
ORD-1082,2022-10-09,CUST-464,Anthony Davis,Corporate,West,Lake Nicholas,Electronics,Laptops,Laptops Model-39,Same Day,15,0.5,3125.34,1046.34
ORD-1083,2023-04-08,CUST-523,Emma Ramirez,Corporate,West,Woodmouth,Furniture,Desks,Desks Model-27,Standard,11,0.3,4441.57,651.77
ORD-1084,2022-04-04,CUST-149,Kristen Williams,Home Office,East,Wendyfurt,Clothing,Shirts,Shirts Model-9,Standard,19,0.5,4160.54,-85.57
ORD-1085,2022-10-22,CUST-395,Robert Ballard,Home Office,South,South Brandy,Clothing,Shirts,Shirts Model-10,Economy,8,0.0,3006.05,508.79
ORD-1086,2023-03-16,CUST-519,,Home Office,Central,Burnsbury,Office Supplies,Pens,Pens Model-44,Standard,20,0.2,4227.32,1941.46
ORD-1087,2022-01-07,CUST-436,Brandy Boyer,Corporate,North,South Anthony,Office Supplies,Binders,Binders Model-10,Standard,3,0.5,915.21,29.48
ORD-1088,2022-11-29,CUST-143,Alexander Arias,Consumer,South,Carpenterfort,Office Supplies,Binders,Binders Model-11,Standard,3,0.2,3886.41,1005.47
ORD-1089,2022-08-09,CUST-320,,Consumer,East,South Gerald,Clothing,Shoes,Shoes Model-44,Economy,17,0.2,3777.17,-38.22
ORD-1090,2022-11-05,CUST-491,Todd Roach,Corporate,East,Webstershire,Electronics,Laptops,Laptops Model-21,Standard,1,0.3,4727.17,1464.9
ORD-1091,2022-03-15,CUST-323,Steven Reid,Consumer,West,Lake Christineborough,Furniture,Shelves,Shelves Model-5,Same Day,19,0.3,1991.39,1406.7
ORD-1092,2022-01-22,CUST-585,Erika Barber,Home Office,West,Andrewhaven,Electronics,Accessories,Accessories Model-45,Same Day,3,0.3,4831.34,95.31
ORD-1093,2022-11-14,CUST-498,Nicholas Stone,Consumer,North,East Cynthiamouth,Electronics,Accessories,Accessories Model-33,Standard,17,0.5,3731.57,209.62
ORD-1094,2022-04-16,CUST-408,Michael Rodriguez,Consumer,North,New Patrick,Furniture,Tables,Tables Model-12,Economy,15,0.5,740.76,153.73
ORD-1095,2022-06-04,CUST-423,Kevin Sanchez Jr.,Corporate,East,Melissaview,Office Supplies,Binders,Binders Model-38,Standard,12,0.5,2204.42,778.52
ORD-1096,2022-03-20,CUST-146,Julie Myers,Home Office,Central,Kristenfort,Office Supplies,Binders,Binders Model-33,Economy,15,0.5,3226.89,1947.95
ORD-1097,2022-11-26,CUST-590,Amy Walsh,Consumer,West,South Kimchester,Clothing,Pants,Pants Model-7,Same Day,3,0.5,3028.98,853.14
ORD-1098,2023-01-08,CUST-309,Jessica Wilson,Corporate,Central,Port Sandrafurt,Clothing,Pants,Pants Model-4,Same Day,3,0.2,1870.53,350.66
ORD-1099,2022-03-25,CUST-279,Leon Merritt,Corporate,West,West Lindsey,Furniture,Shelves,Shelves Model-9,Standard,10,0.5,2917.87,25.29
ORD-1100,2023-06-05,CUST-192,Mr. Scott Kerr,Consumer,East,East Theresa,Electronics,Accessories,Accessories Model-50,Economy,7,0.1,1815.52,533.97
ORD-1101,2023-11-09,CUST-167,Jacob Allison,Home Office,West,Bakerchester,Electronics,Phones,Phones Model-10,Express,6,0.5,1690.45,1462.51
ORD-1102,2023-11-24,CUST-412,Kelly Evans,Corporate,West,Tashaport,Clothing,Shoes,Shoes Model-15,Express,10,0.3,3600.73,1930.05
ORD-1103,2022-10-16,CUST-314,James Lamb,Consumer,South,Beardtown,Clothing,Accessories,Accessories Model-39,Express,9,0.0,3892.84,856.69
ORD-1104,2022-10-19,CUST-330,Albert Coleman,Home Office,South,West Glen,Electronics,Phones,Phones Model-28,Standard,8,0.3,428.54,68.72
ORD-1105,2022-08-30,CUST-214,,Consumer,East,Stephenside,Clothing,Shoes,Shoes Model-7,Same Day,5,0.1,1936.97,-112.31
ORD-1106,2023-04-05,CUST-109,Lisa Johnson,Corporate,South,Jonesshire,Furniture,Desks,Desks Model-10,Economy,4,0.2,3080.59,1783.47
ORD-1107,2022-04-24,CUST-374,Brendan Turner,Consumer,Central,Williamport,Clothing,Shirts,Shirts Model-37,Express,5,0.2,4185.07,849.61
ORD-1108,2023-11-12,CUST-284,,Consumer,Central,Lake Amandaside,Clothing,Pants,Pants Model-35,Standard,13,0.3,3344.39,904.01
ORD-1109,2022-03-11,CUST-421,David Wilcox,Consumer,Central,Nelsonport,Electronics,Tablets,Tablets Model-48,Same Day,5,0.0,1730.56,1385.76
ORD-1110,2023-10-09,CUST-466,Mary Palmer,Corporate,North,Millershire,Clothing,Accessories,Accessories Model-19,Express,2,0.1,919.57,10.16
ORD-1111,2022-09-17,CUST-246,Valerie Arroyo,Corporate,North,Craigstad,Clothing,Accessories,Accessories Model-42,Same Day,9,0.0,192.74,1187.87
ORD-1112,2022-12-14,CUST-354,Thomas White,Corporate,Central,Kellyburgh,Clothing,Accessories,Accessories Model-18,Standard,14,0.0,4868.88,841.27
ORD-1113,2022-04-16,CUST-256,Ashley Barajas,Corporate,Central,Mooreville,Office Supplies,Binders,Binders Model-46,Economy,6,0.3,409.54,1220.11
ORD-1114,2022-10-09,CUST-129,Alison Martinez,Consumer,West,Matthewchester,Office Supplies,Envelopes,Envelopes Model-24,Express,1,0.1,3200.95,1520.4
ORD-1115,2022-08-30,CUST-296,Christopher Wolfe,Home Office,North,Port Michael,Furniture,Chairs,Chairs Model-39,Express,15,0.2,3894.79,542.56
ORD-1116,2022-11-18,CUST-158,Zachary Pearson,Consumer,South,Christopherbury,Office Supplies,Envelopes,Envelopes Model-32,Economy,18,0.0,3251.31,274.11
ORD-1117,2022-07-24,CUST-331,Eric Myers,Consumer,West,East Judithton,Office Supplies,Envelopes,Envelopes Model-6,Same Day,12,0.0,621.96,1661.5
ORD-1118,2023-01-06,CUST-202,Courtney Phillips,Consumer,South,Michaelburgh,Furniture,Tables,Tables Model-32,Standard,12,0.5,2548.69,-20.87
ORD-1119,2022-03-09,CUST-468,Robert Anderson,Corporate,Central,West Patricia,Furniture,Chairs,Chairs Model-27,Economy,19,0.0,1553.36,1999.07
ORD-1120,2022-05-12,CUST-427,Brandy Smith,Home Office,South,Quinnburgh,Clothing,Shoes,Shoes Model-50,Express,14,0.5,4391.02,1494.6
ORD-1121,2022-06-18,CUST-215,Eric Blair,Corporate,Central,Michellefort,Furniture,Shelves,Shelves Model-19,Standard,9,0.1,818.22,1849.9
ORD-1122,2023-05-30,CUST-397,Cheryl Powers,Consumer,South,East Francesmouth,Office Supplies,Paper,Paper Model-43,Same Day,19,0.0,,1061.16
ORD-1123,2023-08-09,CUST-354,Deborah Gray,Home Office,Central,North Julie,Office Supplies,Pens,Pens Model-19,Same Day,16,0.1,2088.77,1169.68
ORD-1124,2022-06-11,CUST-204,James Fox,Corporate,Central,Angelicaland,Electronics,Phones,Phones Model-10,Same Day,11,0.2,2203.63,813.78
ORD-1125,2022-09-05,CUST-226,Stacie Woods,Consumer,North,South Connor,Electronics,Tablets,Tablets Model-4,Same Day,13,0.5,2337.7,315.18
ORD-1126,2022-07-14,CUST-363,Brianna Guzman,Corporate,West,West Lisa,Office Supplies,Binders,Binders Model-20,Economy,1,0.0,3817.98,846.01
ORD-1127,2022-02-19,CUST-551,Cameron Brown,Home Office,West,East Dan,Furniture,Shelves,Shelves Model-19,Standard,4,0.3,262.2,838.26
ORD-1128,2022-02-16,CUST-199,Heather Graham,Corporate,Central,Murrayhaven,Clothing,Shoes,Shoes Model-19,Standard,13,0.5,2008.9,1011.65
ORD-1129,2022-04-10,CUST-273,George Gonzalez,Home Office,East,Samanthaview,Electronics,Laptops,Laptops Model-49,Express,7,0.5,1975.58,1528.26
ORD-1130,2023-05-01,CUST-557,Sarah Gill,Home Office,South,Lake Taylorbury,Furniture,Shelves,Shelves Model-21,Same Day,6,0.3,2601.47,42.56
ORD-1131,2023-12-27,CUST-108,Roberta Clark,Corporate,East,West Oliviamouth,Office Supplies,Envelopes,Envelopes Model-44,Standard,14,0.5,2818.99,792.25
ORD-1132,2022-09-29,CUST-497,Heather Weaver,Home Office,Central,Scottborough,Electronics,Accessories,Accessories Model-15,Standard,19,0.3,4835.68,1500.68
ORD-1133,2023-11-29,CUST-458,Tammy Hancock,Consumer,South,Amymouth,Clothing,Pants,Pants Model-2,Economy,11,0.3,1218.56,1016.91
ORD-1134,2023-12-24,CUST-266,Susan Miller,Home Office,West,Aguilarfort,Clothing,Shirts,Shirts Model-34,Economy,11,0.1,699.03,176.89
ORD-1135,2022-07-16,CUST-252,Jason Freeman,Consumer,East,Brandyburgh,Office Supplies,Envelopes,Envelopes Model-50,Same Day,7,0.3,4787.11,341.71
ORD-1136,2022-05-05,CUST-558,William Hickman,Corporate,East,West Cindy,Office Supplies,Binders,Binders Model-50,Express,10,0.0,2871.65,949.34
ORD-1137,2023-05-06,CUST-238,Steve Brown,Home Office,East,Lake Nancyberg,Clothing,Shoes,Shoes Model-9,Standard,20,0.5,1077.79,1604.29
ORD-1138,2022-02-23,CUST-341,Justin Stanton,Consumer,South,Lake Victoriamouth,Furniture,Tables,Tables Model-1,Express,14,0.3,509.99,459.68
ORD-1139,2023-10-24,CUST-433,Chad Good,Home Office,South,West Natalie,Office Supplies,Binders,Binders Model-35,Standard,6,0.3,305.22,1468.07
ORD-1140,2022-07-10,CUST-574,Ashley Harrell,Corporate,North,Quinnchester,Clothing,Accessories,Accessories Model-1,Same Day,19,0.5,4683.68,1912.9
ORD-1141,2023-06-01,CUST-157,,Corporate,South,New Paulstad,Clothing,Pants,Pants Model-47,Economy,9,0.1,2345.42,143.47
ORD-1142,2023-09-18,CUST-523,Karen Hunter,Corporate,Central,Port Rita,Furniture,Tables,Tables Model-21,Standard,13,0.0,4282.17,1763.2
ORD-1143,2022-09-25,CUST-236,Robert Boyd,Corporate,East,Sarahburgh,Furniture,Chairs,Chairs Model-38,Standard,9,0.2,1924.04,727.49
ORD-1144,2023-02-20,CUST-554,Bobby Davis,Home Office,East,West James,Office Supplies,Pens,Pens Model-45,Standard,10,0.2,3433.51,1823.14
ORD-1145,2023-09-13,CUST-567,Marc Buchanan,Corporate,Central,South Angelaville,Furniture,Desks,Desks Model-43,Express,8,0.5,1874.39,1314.46
ORD-1146,2023-08-01,CUST-562,Patrick Bell,Home Office,South,East Jenniferborough,Office Supplies,Paper,Paper Model-37,Express,6,0.2,569.92,1606.18
ORD-1147,2023-06-07,CUST-167,Crystal Peterson,Home Office,West,Port Breannamouth,Clothing,Shirts,Shirts Model-30,Standard,18,0.3,2232.96,-172.04
ORD-1148,2022-08-12,CUST-276,,Home Office,North,Gamblemouth,Office Supplies,Paper,Paper Model-35,Standard,3,0.3,2895.77,-195.83
ORD-1149,2023-01-27,CUST-293,Kevin Adkins,Corporate,North,East Laura,Clothing,Shoes,Shoes Model-44,Express,12,0.0,2248.2,1809.36
ORD-1150,2022-01-24,CUST-468,William Smith,Home Office,West,Kimberlyhaven,Furniture,Chairs,Chairs Model-35,Economy,8,0.1,4892.67,764.91
ORD-1151,2023-11-08,CUST-552,,Consumer,South,East Benjaminchester,Electronics,Phones,Phones Model-14,Standard,4,0.5,2102.01,1461.92
ORD-1152,2022-02-15,CUST-211,Justin Hernandez,Consumer,South,New Christopherport,Electronics,Laptops,Laptops Model-33,Same Day,8,0.5,2017.3,238.98
ORD-1153,2022-11-06,CUST-366,Ronald Perez Jr.,Consumer,West,Joshuamouth,Office Supplies,Pens,Pens Model-20,Same Day,2,0.5,4382.53,1967.1
ORD-1154,2022-02-18,CUST-443,Gloria Obrien,Corporate,Central,South Williamshire,Clothing,Accessories,Accessories Model-21,Economy,14,0.1,4861.73,1865.65
ORD-1155,2022-11-04,CUST-337,Sharon Barry,Consumer,Central,Davisstad,Furniture,Tables,Tables Model-27,Economy,18,0.5,4289.13,32.01
ORD-1156,2023-01-15,CUST-197,Matthew Myers,Consumer,East,Williamsmouth,Electronics,Accessories,Accessories Model-25,Standard,3,0.1,471.4,1366.54
ORD-1157,2022-08-02,CUST-589,Frank Mcdonald,Consumer,South,Millerburgh,Furniture,Desks,Desks Model-13,Standard,16,0.1,4348.67,465.82
ORD-1158,2022-10-17,CUST-283,Kerry Thompson,Corporate,East,Michaelchester,Furniture,Shelves,Shelves Model-24,Economy,15,0.0,1909.5,927.4
ORD-1159,2023-01-15,CUST-542,Jesus Hamilton,Consumer,South,South Paula,Office Supplies,Pens,Pens Model-2,Same Day,18,0.5,1571.48,-194.85
ORD-1160,2023-01-24,CUST-381,Paige Schwartz,Home Office,East,Aguirremouth,Office Supplies,Pens,Pens Model-17,Economy,16,0.3,2853.25,265.18
ORD-1161,2023-07-10,CUST-368,Carla Hinton,Consumer,North,Brownburgh,Clothing,Pants,Pants Model-43,Standard,1,0.3,4951.71,1901.64
ORD-1162,2022-08-12,CUST-416,Robert Rowe,Home Office,central,East Robert,Furniture,Chairs,Chairs Model-31,Economy,1,0.0,2533.61,558.36
ORD-1163,2022-01-18,CUST-320,Allen Wallace,Consumer,North,North Davidstad,Office Supplies,Binders,Binders Model-7,Express,8,0.1,2516.06,1305.08
ORD-1164,2023-01-18,CUST-224,Michael Turner,Home Office,South,North Mariaberg,Clothing,Shirts,Shirts Model-20,Standard,2,0.0,4796.9,755.69
ORD-1165,2022-03-26,CUST-501,Lucas Hill,Corporate,Central,Marialand,Electronics,Laptops,Laptops Model-7,Standard,8,0.1,2504.29,697.99
ORD-1166,2022-03-18,CUST-378,Krista Burton,Home Office,North,New Kimberly,Office Supplies,Paper,Paper Model-12,Same Day,1,0.1,3425.3,344.86
ORD-1167,2022-11-03,CUST-527,Sara Myers,Corporate,Central,Lake Edwardhaven,Clothing,Shirts,Shirts Model-22,Economy,5,0.0,820.63,253.09
ORD-1168,2022-03-19,CUST-588,Laurie Oneal,Home Office,West,Lake Sharon,Clothing,Pants,Pants Model-50,Same Day,1,0.2,1709.56,1468.71
ORD-1169,2022-07-10,CUST-143,Bonnie Haney,Home Office,East,Martinbury,Clothing,Accessories,Accessories Model-16,Standard,3,0.2,3401.68,1219.55
ORD-1170,2023-01-05,CUST-257,Shelly White,Corporate,East,New Laura,Clothing,Shoes,Shoes Model-49,Same Day,4,0.1,541.69,-288.05
ORD-1171,2022-01-27,CUST-405,Mary Clayton,Home Office,East,Camachoview,Clothing,Shirts,Shirts Model-25,Standard,10,0.3,457.2,974.71
ORD-1172,2023-12-03,CUST-254,Eric Chandler,Corporate,West,Hayeshaven,Furniture,Tables,Tables Model-10,Standard,6,0.3,1909.85,19.33
